"","site_no","min","mean","med","max","st_dev"
"1",14166000,2.4,12.0035427676649,11.5,22.3,4.55102856264989
"2",14211010,0.2,11.1844962759702,9.7,23.9,5.45344366122988
"3",14211720,1.6,13.365645857872,12.1,26.2,5.97917992562377
